date,            Personal_loans,Housing,fixed_deposits, share_bonds, Creditcard,Education,Vehicle_loans,gold,Consumer_durables,Other
01/07/20,25706.46,13467.42,552.75,62.37,1013.91,654.55,2478.68,351.89,80.78,7044.12
01/08/20,25805.01,13455.71,550.96,59.85,1048.33,650.33,2482.1,378.6,79.31,7099.83
01/09/20,26040.48,13565.31,568.82,60.03,1056.4,653.36,2483.68,400.86,77.88,7174.14
01/10/20,26458.96,13700.1,558.76,59.67,1102.07,656.09,2515.57,439.07,80.55,7347.06
01/11/20,26756.97,13801.15,571.45,44.83,1143.07,653.49,2554.56,462.21,82.53,7443.69
01/12/20,27017.38,13922.59,588.29,47.05,1103.5,648.43,2580.62,488.59,84.35,7553.97
01/01/21,28500.5,14431.45,598.2,40.33,1291.97,645.75,2746.5,523.23,168.25,8054.82
01/02/21,29447.89,14787.9,607.41,49.57,1310.68,645.54,2988.74,565.96,170.55,8321.54
01/03/21,30073.84,14922.32,730.66,54,1311.93,782.66,3684.22,744.58,172.47,7671
01/04/21,30023.85,15000.94,712.34,53.35,1280.52,777.83,3710.06,765.36,175.21,7548.25
01/05/21,29795.79,15028.77,665.8,52.69,1185.12,779.41,3666.23,759.84,171.68,7486.26
01/06/21,29809.02,15119.85,700.48,53.85,1169.94,777.89,3634.27,744.47,171.78,7436.48
01/07/21,28587.41,14667.62,591.91,44.53,1113.23,625.31,2659.51,624.12,95.26,8165.92
01/08/21,28939.13,14697.44,610.88,43.9,1156.12,629.64,2686.43,629.26,102.58,8382.88
01/09/21,29185.38,14784.51,636.9,44.81,1156.41,634.37,2703.78,637.7,109.04,8477.88
01/10/21,29555.99,14852.35,637.34,46.08,1233.12,636.01,2726.1,653.61,116.28,8655.1
01/11/21,29854.3,14901.57,647.97,47.14,1221.11,634.52,2752.49,656.3,123.13,8870.07
01/12/21,30878.45,15214.39,730.11,48.2,1247.43,632.13,2794.85,708.71,131.15,9371.48
01/01/22,31804.77,15529.89,700.09,50.17,1412.54,630.57,2815.18,695.21,257.44,9713.66
01/02/22,33066.5,15781.25,765.79,59.68,1440.04,631.3,3296.36,714.08,265.87,10112.13
01/03/22,33858.27,16844.24,787.34,61.61,1477.89,827.23,4026.67,753.11,276.13,8804.06
01/04/22,34429.93,17062.86,797.68,61.12,1536.81,826,4135.36,742.81,288.96,8978.34
01/05/22,34678.12,17089.11,779.06,61.72,1541.37,827.21,4183.5,737.52,295.93,9162.7
01/06/22,35200.62,17409.21,784.29,65.47,1529.31,843.75,4276.54,750.24,304.61,9237.19
